09:04:16.152 /home/macfly/Git/contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0

09:04:16.646 Rime started with address 1.0

09:04:16.657 MAC 01:00:00:00:00:00:00:00 Ref ID: 3617

09:04:16.657 Contiki-2.6-2121-gdf2cdbb started. Node id is set to 1.

09:04:16.666 nullmac ContikiMAC, channel check rate 8 Hz, radio channel 26

09:04:16.666 Starting 'Net test'

09:07:41.672 RX 3.0 MSG 97 12345678901234567890123456789012345678901

09:07:43.297 RX 3.0 MSG 98 12345678901234567890123456789012345678901

09:07:46.672 RX 3.0 MSG 100 12345678901234567890123456789012345678901

09:07:51.172 RX 3.0 MSG 102 12345678901234567890123456789012345678901

09:07:52.297 RX 3.0 MSG 103 12345678901234567890123456789012345678901

09:07:54.047 RX 3.0 MSG 104 12345678901234567890123456789012345678901

09:07:55.797 RX 3.0 MSG 105 12345678901234567890123456789012345678901

09:08:01.422 RX 3.0 MSG 107 12345678901234567890123456789012345678901

09:08:05.172 RX 3.0 MSG 109 12345678901234567890123456789012345678901

09:08:07.672 RX 3.0 MSG 110 12345678901234567890123456789012345678901

09:08:08.797 RX 3.0 MSG 111 12345678901234567890123456789012345678901

09:08:09.922 RX 3.0 MSG 112 12345678901234567890123456789012345678901

09:08:16.672 RX 3.0 MSG 116 12345678901234567890123456789012345678901

09:08:27.672 RX 3.0 MSG 122 12345678901234567890123456789012345678901

09:08:30.172 RX 3.0 MSG 123 12345678901234567890123456789012345678901

09:08:31.547 RX 3.0 MSG 124 12345678901234567890123456789012345678901

09:08:34.172 RX 3.0 MSG 125 12345678901234567890123456789012345678901

09:08:35.797 RX 3.0 MSG 126 12345678901234567890123456789012345678901

09:08:39.297 RX 3.0 MSG 128 12345678901234567890123456789012345678901

09:08:42.047 RX 3.0 MSG 129 12345678901234567890123456789012345678901

09:08:47.172 RX 3.0 MSG 132 12345678901234567890123456789012345678901

09:08:48.297 RX 3.0 MSG 133 12345678901234567890123456789012345678901

09:08:53.797 RX 3.0 MSG 136 12345678901234567890123456789012345678901

09:08:58.422 RX 3.0 MSG 139 12345678901234567890123456789012345678901

09:09:02.547 RX 3.0 MSG 141 12345678901234567890123456789012345678901

09:09:04.797 RX 3.0 MSG 142 12345678901234567890123456789012345678901

09:09:09.547 RX 3.0 MSG 144 12345678901234567890123456789012345678901

09:09:11.922 RX 3.0 MSG 146 12345678901234567890123456789012345678901

09:09:14.047 RX 3.0 MSG 147 12345678901234567890123456789012345678901

09:09:16.922 RX 3.0 MSG 148 12345678901234567890123456789012345678901

09:09:21.547 RX 3.0 MSG 150 12345678901234567890123456789012345678901

09:09:26.297 RX 3.0 MSG 152 12345678901234567890123456789012345678901

09:09:29.172 RX 3.0 MSG 153 12345678901234567890123456789012345678901

09:09:37.172 RX 3.0 MSG 157 12345678901234567890123456789012345678901

09:09:39.422 RX 3.0 MSG 158 12345678901234567890123456789012345678901

09:09:40.797 RX 3.0 MSG 159 12345678901234567890123456789012345678901

09:09:42.797 RX 3.0 MSG 160 12345678901234567890123456789012345678901

09:09:44.297 RX 3.0 MSG 161 12345678901234567890123456789012345678901

09:09:46.297 RX 3.0 MSG 162 12345678901234567890123456789012345678901

09:09:49.047 RX 3.0 MSG 163 12345678901234567890123456789012345678901

09:09:52.047 RX 3.0 MSG 164 12345678901234567890123456789012345678901

09:09:53.172 RX 3.0 MSG 165 12345678901234567890123456789012345678901

09:09:57.422 RX 3.0 MSG 167 12345678901234567890123456789012345678901

09:09:59.797 RX 3.0 MSG 168 12345678901234567890123456789012345678901

09:10:01.172 RX 3.0 MSG 169 12345678901234567890123456789012345678901

09:10:07.922 RX 3.0 MSG 172 12345678901234567890123456789012345678901

09:10:09.297 RX 3.0 MSG 173 12345678901234567890123456789012345678901

09:10:14.422 RX 3.0 MSG 176 12345678901234567890123456789012345678901

09:10:15.797 RX 3.0 MSG 177 12345678901234567890123456789012345678901

09:10:17.547 RX 3.0 MSG 178 12345678901234567890123456789012345678901

09:10:19.297 RX 3.0 MSG 179 12345678901234567890123456789012345678901

09:10:30.422 RX 3.0 MSG 184 12345678901234567890123456789012345678901

09:10:34.047 RX 3.0 MSG 186 12345678901234567890123456789012345678901

09:10:36.172 RX 3.0 MSG 187 12345678901234567890123456789012345678901

09:10:37.797 RX 3.0 MSG 188 12345678901234567890123456789012345678901

09:10:42.047 RX 3.0 MSG 190 12345678901234567890123456789012345678901

09:10:43.547 RX 3.0 MSG 191 12345678901234567890123456789012345678901

09:10:45.797 RX 3.0 MSG 192 12345678901234567890123456789012345678901

09:10:52.547 RX 3.0 MSG 195 12345678901234567890123456789012345678901

09:10:55.547 RX 3.0 MSG 196 12345678901234567890123456789012345678901

09:10:57.047 RX 3.0 MSG 197 12345678901234567890123456789012345678901

09:11:00.047 RX 3.0 MSG 198 12345678901234567890123456789012345678901

09:11:01.547 RX 3.0 MSG 199 12345678901234567890123456789012345678901

09:11:04.296 RX 3.0 MSG 200 12345678901234567890123456789012345678901

09:11:05.922 RX 3.0 MSG 201 12345678901234567890123456789012345678901

09:11:08.422 RX 3.0 MSG 202 12345678901234567890123456789012345678901

